pH,H2A,HA,A
0,0.999045886992222,0.000954081415173,3.1592604899186E-08
0.1,0.998799129271013,0.001200820670449,5.00585372548667E-08
0.2,0.998488646964179,0.001511273723048,7.93127724335292E-08
0.3,0.998098037743306,0.001901836603596,1.25653098317694E-07
0.4,0.99760670913718,0.002393091814113,1.99048707190153E-07
0.5,0.996988826602331,0.003010858122119,3.15275549380203E-07
0.6,0.996212008290865,0.003787492420394,4.99288740541568E-07
0.7,0.995235711849719,0.004763497606454,7.9054382612815E-07
0.8,0.994009250590595,0.0059894980259,1.25138350512697E-06
0.9,0.992469369685798,0.00752865007747,1.98023673209499E-06
1,0.990537309775858,0.009459557870136,3.13235400626748E-06
1.1,0.988115288999658,0.01187975869266,4.95230768198551E-06
1.2,0.985082350490545,0.01490982472221,7.824787245232E-06
1.3,0.981289559216039,0.018698087080336,1.23537036242537E-05
1.4,0.976554601911198,0.023425913262846,1.94848259570285E-05
1.5,0.970655963688701,0.029313341474602,3.06948366968199E-05
1.6,0.963327046453219,0.036624672825032,4.8280721749022E-05
1.7,0.954250882365554,0.045673318792559,7.57988418873519E-05
1.8,0.943056502633265,0.056824773587143,0.000118723779592
1.9,0.92931855498393,0.070496021586934,0.000185423429136
2,0.912562390694331,0.087149031739508,0.00028857756616
2.1,0.892277456726518,0.107275345203317,0.000447198070165
2.2,0.867942200888933,0.131368368114792,0.000689430996275
2.3,0.839063439356745,0.159880242357342,0.001056318285914
2.4,0.805231716583239,0.193161634917845,0.001606648498916
2.5,0.766191083098498,0.231386007956,0.002422908945503
2.6,0.721916751469376,0.274465093934843,0.003618154595781
2.7,0.672687952736989,0.321968696922832,0.005343350340179
2.8,0.61913798599573,0.373067528564499,0.007794485439771
2.9,0.562262030199965,0.426519367400076,0.011218602399959
3,0.503368703783505,0.48071338014847,0.015917916068025
3.1,0.443974195268253,0.533774384858908,0.022251419872839
3.2,0.385654564672384,0.583711804370658,0.030633630956958
3.3,0.329885669703445,0.628584185038915,0.041530145257641
3.4,0.277904444267742,0.666646329251279,0.05544922648098
3.5,0.230617759973278,0.696454500986564,0.072927739040158
3.6,0.188569618846722,0.716921695537339,0.094508685615939
3.7,0.151961153865023,0.727331811038708,0.120707035096269
3.8,0.120707035096268,0.727331811038708,0.151961153865024
3.9,0.094508685615938,0.716921695537339,0.188569618846724
4,0.072927739040157,0.696454500986563,0.23061775997328
4.1,0.055449226480979,0.666646329251278,0.277904444267743
4.2,0.04153014525764,0.628584185038914,0.329885669703446
4.3,0.030633630956958,0.583711804370657,0.385654564672385
4.4,0.022251419872839,0.533774384858908,0.443974195268253
4.5,0.015917916068025,0.480713380148469,0.503368703783506
4.6,0.011218602399959,0.426519367400076,0.562262030199965
4.7,0.007794485439771,0.373067528564499,0.61913798599573
4.8,0.005343350340179,0.321968696922833,0.672687952736989
4.9,0.003618154595781,0.274465093934843,0.721916751469375
5,0.002422908945503,0.231386007956,0.766191083098497
5.1,0.001606648498916,0.193161634917846,0.805231716583238
5.2,0.001056318285914,0.159880242357342,0.839063439356744
5.3,0.000689430996275,0.131368368114793,0.867942200888932
5.4,0.000447198070165,0.107275345203318,0.892277456726517
5.5,0.00028857756616,0.087149031739509,0.912562390694331
5.6,0.000185423429136,0.070496021586934,0.92931855498393
5.7,0.000118723779592,0.056824773587144,0.943056502633264
5.8,7.57988418873535E-05,0.045673318792559,0.954250882365554
5.9,4.82807217490231E-05,0.036624672825032,0.963327046453219
6,3.06948366968207E-05,0.029313341474602,0.970655963688701
6.09999999999999,1.9484825957029E-05,0.023425913262846,0.976554601911197
6.19999999999999,1.2353703624254E-05,0.018698087080337,0.981289559216039
6.29999999999999,7.82478724523225E-06,0.01490982472221,0.985082350490545
6.39999999999999,4.95230768198567E-06,0.01187975869266,0.988115288999658
6.49999999999999,3.13235400626759E-06,0.009459557870136,0.990537309775858
6.59999999999999,1.98023673209506E-06,0.00752865007747,0.992469369685798
6.69999999999999,1.25138350512702E-06,0.0059894980259,0.994009250590595
6.79999999999999,7.90543826128182E-07,0.004763497606454,0.99523571184972
6.89999999999999,4.99288740541588E-07,0.003787492420394,0.996212008290866
6.99999999999999,3.15275549380217E-07,0.003010858122119,0.996988826602331
7.09999999999999,1.99048707190162E-07,0.002393091814113,0.99760670913718
7.19999999999999,1.256530983177E-07,0.001901836603596,0.998098037743306
7.29999999999999,7.9312772433533E-08,0.001511273723049,0.998488646964179
7.39999999999999,5.00585372548692E-08,0.001200820670449,0.998799129271013
7.49999999999999,3.15926048991876E-08,0.000954081415173,0.999045886992222
7.59999999999999,1.99374986125348E-08,0.000758002556164,0.999241977506337
7.69999999999999,1.25816727520229E-08,0.000602196719087,0.99939779069924
7.79999999999999,7.93948220907498E-09,0.000478401111354,0.999521590949163
7.89999999999999,5.00996757461591E-09,0.000380044905373,0.99961995008466
7.99999999999999,3.16132294590466E-09,0.000301903997536,0.999698092841141
8.09999999999999,1.99478379568534E-09,0.00023982576123,0.999760172243986
