pH,V_b
1.8,-0.09908697891706
1.9,0.934211960758654
2,1.92889642765118
2.1,2.88247957908859
2.2,3.7901455846434
2.3,4.64566511096552
2.4,5.4427704555197
2.5,6.17658163143907
2.6,6.84472343911363
2.7,7.44792715856977
2.8,7.99009444832256
2.9,8.47794168290717
3,8.92040348112917
3.1,9.32796066977459
3.2,9.71200123171355
3.3,10.0842558668919
3.4,10.4562948726078
3.5,10.839040263602
3.6,11.2422391376814
3.7,11.6738613384404
3.8,12.1394253708392
3.9,12.6413164297408
4,13.1782257993183
4.1,13.7448866921476
4.2,14.3322761790612
4.3,14.9283742179321
4.4,15.5194277937716
4.5,16.0915098293554
4.6,16.6320595670022
4.7,17.1310951400464
4.8,17.5818982705268
4.9,17.981131631983
5,18.3284912226158
5.1,18.6260727320798
5.2,18.8776362013388
5.3,19.0879106063773
5.4,19.2620206004718
5.5,19.4050647725642
5.6,19.521838834973
5.7,19.6166785927728
5.8,19.6933919529177
5.9,19.7552512790829
6,19.8050228362845
6.09999999999999,19.8450162100048
6.19999999999999,19.8771420591853
6.29999999999999,19.9029708728027
6.39999999999999,19.9237885229795
6.49999999999999,19.9406465284859
6.59999999999999,19.9544063010711
6.69999999999999,19.9657774659381
6.79999999999999,19.9753508057982
6.89999999999999,19.9836266077651
6.99999999999999,19.9910392864649
7.09999999999999,19.9979791771705
7.19999999999999,20.0048123794859
7.29999999999999,20.0118995098147
7.39999999999999,20.0196142038723
7.49999999999999,20.0283622058853
7.59999999999999,20.038601890326
7.69999999999999,20.0508670812488
7.79999999999999,20.0657930535851
7.89999999999999,20.0841466017537
7.99999999999999,20.1068610130185
8.09999999999999,20.1350766376294
8.19999999999999,20.1701874308083
8.29999999999999,20.21389324442
8.39999999999999,20.2682566167142
8.49999999999999,20.3357611478256
8.59999999999999,20.4193660214975
8.69999999999999,20.5225476109558
8.79999999999999,20.6493142690611
8.89999999999998,20.8041745367921
8.99999999999998,20.9920329276049
9.09999999999998,21.2179830416967
9.19999999999998,21.4869683893206
9.29999999999998,21.8032917938769
9.39999999999998,22.1699798850852
9.49999999999998,22.5880528877405
9.59999999999998,23.0558075225426
9.69999999999998,23.5682764691924
9.79999999999998,24.1170536111284
9.89999999999998,24.6906398580865
9.99999999999998,25.2753566896012
10.1,25.8567172345944
10.2,26.4209981281023
10.3,26.9566881737297
10.4,27.4555362548032
10.5,27.9130576214278
10.6,28.3285197010796
10.7,28.7045508542288
10.8,29.0465663660895
10.9,29.3621925999013
11,29.6608216627718
11.1,29.9533752340493
11.2,30.252316807348
11.3,30.5719341792264
11.4,30.9289192062234
11.5,31.3432989651497
11.6,31.8398243305512
11.7,32.4500095501442
11.8,33.2151654904363
11.9,34.191034827687
12,35.4551368427472
12.1,37.1189239153093
12.2,39.3489617936579
12.3,42.4061663534557
