pH,V_a
13,1.0001999228853E-11
12.9,2.29246535050734
12.8,4.52547280614954
12.7,6.64557698336028
12.6,8.61011004201932
12.5,10.3898770659913
12.4,11.9695996435776
12.3,13.3464987674768
12.2,14.5277244560596
12.1,15.5273692091259
12,16.3636363639669
11.9,17.0564977557292
11.8,17.6259622764502
11.7,18.0909311593556
11.6,18.4685398456391
11.5,18.7738627999199
11.4,19.0198652995019
11.3,19.2175078470239
11.2,19.3759335127725
11.1,19.5026905929211
11,19.6039603999608
10.9,19.6847726509434
10.8,19.749199512603
10.7,19.8005248584341
10.6,19.8413885852019
10.5,19.8739076452391
10.4,19.8997763091532
10.3,19.9203484531386
10.2,19.9367046139264
10.1,19.9497063312391
10,19.9600399999601
9.90000000000001,19.9682521391503
9.80000000000001,19.9747776837822
9.70000000000001,19.979962632898
9.60000000000001,19.9840821506233
9.50000000000001,19.987355014506
9.40000000000001,19.9899551366324
9.30000000000001,19.9920207432461
9.20000000000001,19.9936616841285
9.10000000000001,19.9949652498816
9.00000000000001,19.99600079988
8.90000000000001,19.9968234429142
8.80000000000002,19.9974769637322
8.70000000000002,19.9979961495609
8.60000000000002,19.9984086393856
8.50000000000002,19.9987363937658
8.40000000000002,19.9989968630138
8.30000000000002,19.999203915667
8.20000000000002,19.9993685765199
8.10000000000002,19.999499613408
8.00000000000002,19.9996040039204
7.90000000000002,19.9996873068522
7.80000000000002,19.9997539581484
7.70000000000002,19.9998075070822
7.60000000000002,19.999850805234
7.50000000000002,19.9998861583282
7.40000000000002,19.9999154490083
7.30000000000002,19.999940237086
7.20000000000002,19.9999618426025
7.10000000000002,19.9999814161216
7.00000000000002,20
6.90000000000002,20.0000185838957
6.80000000000002,20.0000381574703
6.70000000000002,20.0000597630925
6.60000000000002,20.0000845513492
6.50000000000002,20.0001138423198
6.40000000000002,20.000149195879
6.30000000000002,20.0001924947705
6.20000000000002,20.0002460448785
6.10000000000002,20.0003126980367
6.00000000000003,20.0003960039204
5.90000000000003,20.0005003991117
5.80000000000003,20.0006314434155
5.70000000000003,20.0007961160218
5.60000000000003,20.0010031873029
5.50000000000003,20.0012636860743
5.40000000000003,20.0015914872459
5.30000000000003,20.0020040512301
5.20000000000003,20.0025233545936
5.10000000000003,20.0031770616917
5.00000000000003,20.00399999996
4.90000000000003,20.005036017873
4.80000000000003,20.0063403252207
4.70000000000003,20.0079824414514
4.60000000000003,20.0100499108666
4.50000000000003,20.0126529853348
4.40000000000003,20.0159305283642
4.30000000000003,20.0200574620385
4.20000000000003,20.0252541646441
4.10000000000003,20.0317983373091
4.00000000000003,20.0400399999599
3.90000000000003,20.0504204602573
3.80000000000003,20.0634963373329
3.70000000000003,20.0799700337058
3.60000000000003,20.1007284597473
3.50000000000003,20.126892362601
3.40000000000003,20.1598793492874
3.30000000000003,20.2014847010289
3.20000000000003,20.2539854713979
3.10000000000003,20.3202753261582
3.00000000000003,20.4040403999592
2.90000000000003,20.5099905622862
2.80000000000003,20.6441666274464
2.70000000000003,20.8143534106554
2.60000000000003,21.0306431565777
2.50000000000003,21.3062172799997
2.40000000000003,21.658452879503
2.30000000000003,22.1105257919872
2.20000000000003,22.6937964422192
2.10000000000003,23.451473199745
2.00000000000003,24.4444444439503
1.90000000000003,25.7609640508129
1.80000000000003,27.5335618602779
1.70000000000003,29.9704069935346
1.60000000000003,33.4179932421221
1.50000000000003,38.4990118226982
